,,,,All Type of Report (All Grades) for 03-Feb-2021 to 13-Feb-2026,,,,
State,District,Commodity Group,Commodity,Date,Arrival Quantity 03-02-2021 to 13-02-2026,Arrival Unit,Modal Price 03-02-2021 to 13-02-2026,Price Unit
Maharashtra,Ahilyanagar,Cereals,Wheat,03-02-2021,53.00,Metric Tonnes,1737.26,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,04-02-2021,38.00,Metric Tonnes,1718.82,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,05-02-2021,23.00,Metric Tonnes,1619.04,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,06-02-2021,11.00,Metric Tonnes,1681.82,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,07-02-2021,1.00,Metric Tonnes,2100.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,08-02-2021,13.00,Metric Tonnes,1947.69,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,09-02-2021,54.00,Metric Tonnes,1683.48,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,10-02-2021,52.00,Metric Tonnes,1672.85,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,11-02-2021,40.00,Metric Tonnes,1750.40,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,12-02-2021,42.00,Metric Tonnes,1623.50,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,13-02-2021,32.00,Metric Tonnes,1634.22,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,14-02-2021,10.00,Metric Tonnes,1803.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,15-02-2021,39.00,Metric Tonnes,1730.51,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,16-02-2021,29.00,Metric Tonnes,1626.59,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,17-02-2021,55.00,Metric Tonnes,2488.84,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,18-02-2021,62.00,Metric Tonnes,1799.19,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,19-02-2021,15.00,Metric Tonnes,1685.33,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,20-02-2021,56.00,Metric Tonnes,1688.84,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,21-02-2021,8.00,Metric Tonnes,1937.50,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,22-02-2021,50.00,Metric Tonnes,1748.28,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,23-02-2021,44.00,Metric Tonnes,1657.41,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,24-02-2021,49.00,Metric Tonnes,1651.35,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,25-02-2021,64.00,Metric Tonnes,1793.91,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,26-02-2021,52.00,Metric Tonnes,1712.42,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,27-02-2021,47.00,Metric Tonnes,1639.79,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,28-02-2021,21.00,Metric Tonnes,1785.71,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,01-03-2021,63.00,Metric Tonnes,1860.63,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,02-03-2021,99.00,Metric Tonnes,1697.15,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,03-03-2021,67.00,Metric Tonnes,1673.19,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,04-03-2021,83.00,Metric Tonnes,1813.19,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,05-03-2021,71.00,Metric Tonnes,1682.90,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,06-03-2021,73.00,Metric Tonnes,1662.51,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,07-03-2021,36.00,Metric Tonnes,1932.14,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,08-03-2021,109.00,Metric Tonnes,1797.60,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,09-03-2021,103.00,Metric Tonnes,1678.16,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,10-03-2021,81.00,Metric Tonnes,1711.78,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,11-03-2021,58.00,Metric Tonnes,1893.19,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,12-03-2021,115.00,Metric Tonnes,1712.60,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,13-03-2021,94.00,Metric Tonnes,1745.44,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,14-03-2021,40.00,Metric Tonnes,1875.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,15-03-2021,118.00,Metric Tonnes,1809.73,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,16-03-2021,10.00,Metric Tonnes,1725.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,17-03-2021,8.00,Metric Tonnes,1675.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,18-03-2021,9.00,Metric Tonnes,1630.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,19-03-2021,14.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,20-03-2021,142.00,Metric Tonnes,1662.23,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,21-03-2021,50.00,Metric Tonnes,1987.50,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,22-03-2021,118.00,Metric Tonnes,1760.04,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,23-03-2021,132.00,Metric Tonnes,1681.06,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,24-03-2021,85.00,Metric Tonnes,1696.16,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,25-03-2021,106.00,Metric Tonnes,1856.60,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,26-03-2021,65.00,Metric Tonnes,1708.23,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,27-03-2021,37.00,Metric Tonnes,1751.35,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,28-03-2021,17.00,Metric Tonnes,1905.88,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,29-03-2021,51.00,Metric Tonnes,1796.76,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,30-03-2021,78.00,Metric Tonnes,1635.71,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,31-03-2021,74.00,Metric Tonnes,1653.65,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,01-04-2021,61.00,Metric Tonnes,1733.70,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,02-04-2021,35.00,Metric Tonnes,1704.31,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,03-04-2021,112.00,Metric Tonnes,1727.37,Rs./Quintal
