State / UT,State / UT,No. of Farmers Insured,Area Insured (Ha),Sum Insured,Farmers' Premium,GOI Premium (share),State Govt Premium (share),Gross Premium,Claims Payable,Claims Paid,No. of Farmers benefitted
Kharif 2012,Andhra Pradesh,921061,1507092.67,380604.08,14145.5,11900.13,11900.13,37945.77,34512.32,34512.32,662715
Kharif 2012,Bihar,1229325,1292573.48,290829.02,7270.73,10906.09,10906.09,29082.91,16091.74,15562.27,922676
Kharif 2012,Haryana,60721,75675.91,21980.65,599.2,810.1,810.1,2219.4,462.54,451.96,43298
Kharif 2012,Himachal Pradesh,1322,241.8,241.8,14.51,7.25,7.25,29.01,10.25,10.25,462
Kharif 2012,Jharkhand,77721,79914.82,15733.31,394.01,550.35,550.35,1494.69,790.43,14.75,69686
Kharif 2012,Karnataka,210557,265563.36,37528.92,1759.89,1220.48,1220.48,4200.85,4288.89,4206.33,205144
Kharif 2012,Kerala,8243,6844.04,1711.01,49.17,62.79,62.79,174.75,58.08,57.91,7708
Kharif 2012,Maharashtra,4456,4932.39,2828.82,162.33,81.17,81.17,324.66,829.4,829.4,2879
Kharif 2012,Orissa,31733,52589.64,6310.72,157.77,236.65,236.65,631.07,265.91,265.91,27893
Kharif 2012,Rajasthan,5381476,7787730.16,511962.85,15614.03,17959.03,17959.03,51532.1,26803.54,26803.26,4738016
Kharif 2012,Tamil Nadu,18027,17626.54,4246.63,126.4,151.78,151.78,429.98,718.6,707.51,12627
Kharif 2012,Uttar pradesh,43282,27114.2,8005.37,200.73,299.89,299.89,800.54,173.4,173.4,36832
Kharif 2012,Uttarakhand,17639,6092.81,4745.01,284.7,142.35,142.35,569.4,2313.17,2313.17,17639
Kharif 2012,West Bengal,2560,741.85,324.99,19.5,9.75,9.75,39,11.2,4.13,1259
TOTAL,TOTAL,8008123,11124733.65,1287053.19,40798.47,44337.81,44337.81,129474.13,87329.45,85912.58,6748834
Rabi 2012-13,Andhra Pradesh,10791,10238.84,7356.05,423.79,211.9,211.9,847.59,992.68,990.69,8165
Rabi 2012-13,Bihar,1637208,1685709.83,421993.86,6846.45,13569.33,13569.33,33985.11,33452.09,0,1584740
Rabi 2012-13,Chhatisgarh,104939,194179.2,38484.45,764.42,1157.17,1157.17,3078.76,1284.82,1284.82,61613
Rabi 2012-13,Haryana,65126,92272.94,31601.28,477.93,1026.82,1026.82,2531.56,1771.16,1748.29,39991
Rabi 2012-13,Himachal Pradesh,41324,961034.74,21460.09,1233.88,616.92,616.92,2467.73,952.83,950.75,17562
Rabi 2012-13,Jharkhand,29361,26776.74,6404.31,100.97,206.74,206.74,514.46,103.13,0,17965
Rabi 2012-13,Karnataka,2063,3699.01,920.52,40.66,27.77,27.77,96.2,82.96,82.94,1140
Rabi 2012-13,Kerala,20073,13637.81,3548.59,125.73,106.46,106.46,338.64,540.65,540.65,17308
Rabi 2012-13,Maharashtra,81774,78621.77,73120.49,4387.23,2193.62,2193.62,8774.46,8889.55,8889.55,30451
Rabi 2012-13,Rajasthan,3532536,3806451.51,452579.72,10760.61,14082.22,14082.22,38925.06,57134.21,55208.83,2213343
Rabi 2012-13,Tamil Nadu,11509,11940.26,2604.01,68.71,74.87,74.87,218.44,321,321,7168
Rabi 2012-13,Uttar Pradesh,62105,26285.67,10459.5,156.9,339.94,339.94,836.76,311.48,311.42,58796
Rabi 2012-13,Uttarakhand,3196,84831.47,2189.01,131.34,65.67,65.67,262.68,139.24,139,2474
Rabi 2012-13,West Bengal,4253,5626.41,598.82,35.79,17.89,17.89,71.57,76.15,6.05,1398
TOTAL,TOTAL,5606258,7001306.2,1073320.71,25554.4,33697.32,33697.32,92949.02,106051.93,70473.98,4062114
Kharif 2013,Andhra Pradesh,820242,1358322.73,369260.95,13512.36,11665.3,11665.3,36842.96,28254.97,28226.84,588698
Kharif 2013,Bihar,1430926,1477266.45,332384.73,8309.62,12464.43,12464.43,33238.48,52809.95,55116.11,1411955
Kharif 2013,Haryana,78053,144607.05,39572.89,999.42,1499.13,1499.13,3997.65,1254.48,255.17,71662
Kharif 2013,Himachal Pradesh,816,110.86,110.86,6.65,3.33,3.33,13.3,3.97,3.26,816
Kharif 2013,Jharkhand,118616,153217.88,30511.87,762.9,847.04,847.04,2456.98,2710.28,0,111301
Kharif 2013,Karnataka,209407,265526.11,35302.35,1596.3,1156.86,1156.86,3910.02,3842.11,3777.12,188876
Kharif 2013,Kerala,27088,13625.74,5375.31,244.76,177.92,177.92,600.6,196.23,185,15267
Kharif 2013,Madhya Pradesh,59081,21476.61,10738.31,644.3,322.15,322.15,1288.6,1074.11,105.43,59081
Kharif 2013,Maharashtra,12221,12124.09,7139.27,428.36,214.18,214.18,856.71,371.85,371.85,1107
Kharif 2013,Rajasthan,5819053,7567681.39,558467.36,17146.08,19561.08,19561.08,56268.23,20375.12,19837.47,4157503
Kharif 2013,Tamil Nadu,12050,10809.75,3523.69,114.31,122.28,122.28,358.88,510.8,510.8,8359
Kharif 2013,Uttar Pradesh,229760,164172.83,59656.94,1498.98,2233.35,2233.35,5965.7,4394.45,4500.16,226734
Kharif 2013,Uttarakhand,38329,14293.06,11528.73,691.72,345.87,345.87,1383.45,1106.28,1101.38,18924
Kharif 2013,West Bengal,5877,1860.53,546.82,32.81,16.4,16.4,65.63,33.84,28.66,5502
TOTAL,TOTAL,8861519,11205095.06,1464120.07,45988.58,50629.31,50629.31,147247.19,116938.45,114019.24,6865785
Rabi 2013-14,Andhra Pradesh,8129,32683.35,5746.84,331.08,165.54,165.54,662.16,NA,NA,NA
Rabi 2013-14,Assam,859,295.84,200.1,10.47,4.79,4.79,20.05,35.4,6.36,853
Rabi 2013-14,Bihar,2153117,2005560.21,501628.44,24099.9,8205.85,8205.85,40511.6,15770.55,760.37,1811091
Rabi 2013-14,Chhatisgarh,98415,169176.83,33601.43,606.71,537.62,1481.97,2626.31,7324.96,7324.96,98415
Rabi 2013-14,Haryana,92474,178052.55,56786.98,854.2,909.36,2781.63,4545.18,983.41,3.08,62446
Rabi 2013-14,Himachal Pradesh,66171,15917.21,21608.7,1244.57,622.29,622.29,2489.14,885.08,817.52,34749
Rabi 2013-14,Jharkhand,68801,63843.97,15747.51,598.68,175.07,175.07,948.81,543.02,NA,43641
Rabi 2013-14,Karnataka,4174,8435.01,1167.4,63.59,27.5,27.5,118.58,156.6,156.6,2623
Rabi 2013-14,Kerala,17097,13981.31,4114.03,130.53,123.42,123.42,377.37,297.55,143.38,13737
Rabi 2013-14,Madhya Pradesh,22364,14463.42,7597.27,455.84,227.92,227.92,911.67,1809.54,19.81,22364
