State,District,Year,Wheat,,
,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Maharashtra,1. Ahilyanagar,2013 - 2014,51900,100700,1.94
,,2014 - 2015,57200,85000,1.49
,,2015 - 2016,41100,50100,1.22
,,2016 - 2017,60000,127200,2.12
,,2017 - 2018,79800,177500,2.22
,,2018 - 2019,46190,87700,1.9
,,2019 - 2020,67727,142189,2.1
,,2020 - 2021,73932.09,150813.18,2.04
,,2021 - 2022,67845.25,152820.07,2.25
,,2022 - 2023,85790.86,191159.19,2.23
,2. Akola,2013 - 2014,19900,25200,1.27
,,2014 - 2015,18300,25800,1.41
,,2015 - 2016,14800,17700,1.2
,,2016 - 2017,16700,27500,1.65
,,2017 - 2018,15600,24500,1.57
,,2018 - 2019,20600,27300,1.33
,,2019 - 2020,24015,31025,1.29
,,2020 - 2021,27863.42,39939.7,1.43
,,2021 - 2022,30006.49,50269.87,1.68
,,2022 - 2023,32482.56,56821.74,1.75
,3. Amravati,2013 - 2014,42000,65000,1.55
,,2014 - 2015,66400,87200,1.31
,,2015 - 2016,68000,69300,1.02
,,2016 - 2017,73600,111900,1.52
,,2017 - 2018,39300,69400,1.77
,,2018 - 2019,26880,40000,1.49
,,2019 - 2020,43046,74766,1.74
,,2020 - 2021,43045.9,72173.44,1.68
,,2021 - 2022,41749.96,68090.01,1.63
,,2022 - 2023,44665.11,71245.32,1.6
,4. Beed,2013 - 2014,57800,57100,0.99
,,2014 - 2015,59100,40000,0.68
,,2015 - 2016,48000,13200,0.28
,,2016 - 2017,47200,79430,1.68
,,2017 - 2018,53900,57590,1.07
,,2018 - 2019,7170,5200,0.73
,,2019 - 2020,20590,26625,1.29
,,2020 - 2021,20589.78,44084.83,2.14
,,2021 - 2022,20589.78,40039.92,1.94
,,2022 - 2023,57983,124072.02,2.14
,5. Bhandara,2013 - 2014,11900,13600,1.14
,,2014 - 2015,11400,13900,1.22
,,2015 - 2016,10900,12000,1.1
,,2016 - 2017,10900,13800,1.27
,,2017 - 2018,10171,12700,1.25
,,2018 - 2019,9990,13800,1.38
,,2019 - 2020,9971,12096,1.21
,,2020 - 2021,10436.8,13848.95,1.33
,,2021 - 2022,9996.96,12690.04,1.27
,,2022 - 2023,10685.2,14478.45,1.36
,6. Buldhana,2013 - 2014,59000,73900,1.25
,,2014 - 2015,73500,95500,1.3
,,2015 - 2016,60100,48800,0.81
,,2016 - 2017,103880,162400,1.56
,,2017 - 2018,35920,56300,1.57
,,2018 - 2019,27400,32100,1.17
,,2019 - 2020,45555,84916,1.86
,,2020 - 2021,55560.18,112018.24,2.02
,,2021 - 2022,61964.68,168480.11,2.72
,,2022 - 2023,70773.35,133188.37,1.88
,7. Chandrapur,2013 - 2014,25600,28600,1.12
,,2014 - 2015,24200,17800,0.74
,,2015 - 2016,20800,16200,0.78
,,2016 - 2017,19900,25000,1.26
,,2017 - 2018,18124,20300,1.12
,,2018 - 2019,17420,23000,1.32
,,2019 - 2020,17422,12553,0.72
,,2020 - 2021,18162.18,20166.74,1.11
,,2021 - 2022,18463.38,23990.02,1.3
,,2022 - 2023,19718.22,29963.81,1.52
,8. Chhatrapati Sambhajinagar,2013 - 2014,35400,54200,1.53
,,2014 - 2015,35400,33900,0.96
,,2015 - 2016,32200,33300,1.03
,,2016 - 2017,64500,135400,2.1
,,2017 - 2018,69900,115000,1.65
,,2018 - 2019,28880,37300,1.29
,,2019 - 2020,32760,69221,2.11
,,2020 - 2021,47569.98,88209.42,1.85
,,2021 - 2022,47569.97,89950.06,1.89
,,2022 - 2023,44924.32,70616.54,1.57
,9. Dharashiv,2013 - 2014,26700,41200,1.54
,,2014 - 2015,24100,7100,0.29
,,2015 - 2016,10900,3100,0.28
,,2016 - 2017,14600,11100,0.76
,,2017 - 2018,30300,19400,0.64
,,2018 - 2019,19580,15000,0.77
,,2019 - 2020,24572,13769,0.56
,,2020 - 2021,28286.74,43420.44,1.54
,,2021 - 2022,28375.82,27050.1,0.95
,,2022 - 2023,33447.78,51987.88,1.55
,10. Dhule,2013 - 2014,47200,77500,1.64
,,2014 - 2015,36000,65700,1.83
,,2015 - 2016,46700,74900,1.6
,,2016 - 2017,40400,87300,2.16
,,2017 - 2018,52896,116900,2.21
,,2018 - 2019,46520,80600,1.73
