,,,,All Type of Report (All Grades) for 01-Jan-2021 to 12-Jun-2026,,,
State,Commodity Group,Commodity,Month,Arrival Quantity 01-01-2021 to 12-06-2026,Arrival Unit,Modal Price 01-01-2021 to 12-06-2026,Price Unit
Maharashtra,Cereals,Wheat,January-2021,27215.00,Metric Tonnes,2366.67,Rs./Quintal
Maharashtra,Cereals,Wheat,February-2021,46070.00,Metric Tonnes,2106.88,Rs./Quintal
Maharashtra,Cereals,Wheat,March-2021,96638.00,Metric Tonnes,2067.98,Rs./Quintal
Maharashtra,Cereals,Wheat,April-2021,83378.00,Metric Tonnes,2306.71,Rs./Quintal
Maharashtra,Cereals,Wheat,May-2021,47364.00,Metric Tonnes,2278.54,Rs./Quintal
Maharashtra,Cereals,Wheat,June-2021,48874.00,Metric Tonnes,2243.55,Rs./Quintal
Maharashtra,Cereals,Wheat,July-2021,35635.00,Metric Tonnes,2421.94,Rs./Quintal
Maharashtra,Cereals,Wheat,August-2021,38884.00,Metric Tonnes,2388.55,Rs./Quintal
Maharashtra,Cereals,Wheat,September-2021,45092.00,Metric Tonnes,2479.92,Rs./Quintal
Maharashtra,Cereals,Wheat,October-2021,42440.00,Metric Tonnes,2479.80,Rs./Quintal
Maharashtra,Cereals,Wheat,November-2021,35123.00,Metric Tonnes,2556.44,Rs./Quintal
Maharashtra,Cereals,Wheat,December-2021,37346.00,Metric Tonnes,2579.59,Rs./Quintal
Maharashtra,Cereals,Wheat,January-2022,29463.00,Metric Tonnes,2544.28,Rs./Quintal
Maharashtra,Cereals,Wheat,February-2022,32116.00,Metric Tonnes,2445.24,Rs./Quintal
Maharashtra,Cereals,Wheat,March-2022,84482.00,Metric Tonnes,2363.99,Rs./Quintal
Maharashtra,Cereals,Wheat,April-2022,81690.00,Metric Tonnes,2387.02,Rs./Quintal
Maharashtra,Cereals,Wheat,May-2022,47105.00,Metric Tonnes,2441.10,Rs./Quintal
Maharashtra,Cereals,Wheat,June-2022,37676.00,Metric Tonnes,2553.56,Rs./Quintal
Maharashtra,Cereals,Wheat,July-2022,33280.00,Metric Tonnes,2692.56,Rs./Quintal
Maharashtra,Cereals,Wheat,August-2022,30111.00,Metric Tonnes,2796.60,Rs./Quintal
Maharashtra,Cereals,Wheat,September-2022,20573.00,Metric Tonnes,2785.46,Rs./Quintal
Maharashtra,Cereals,Wheat,October-2022,28163.00,Metric Tonnes,3044.23,Rs./Quintal
Maharashtra,Cereals,Wheat,November-2022,21889.00,Metric Tonnes,3000.90,Rs./Quintal
Maharashtra,Cereals,Wheat,December-2022,22680.00,Metric Tonnes,3325.72,Rs./Quintal
Maharashtra,Cereals,Wheat,January-2023,18711.00,Metric Tonnes,3680.20,Rs./Quintal
Maharashtra,Cereals,Wheat,February-2023,38509.00,Metric Tonnes,3157.77,Rs./Quintal
Maharashtra,Cereals,Wheat,March-2023,98903.00,Metric Tonnes,2663.70,Rs./Quintal
Maharashtra,Cereals,Wheat,April-2023,83063.16,Metric Tonnes,2764.10,Rs./Quintal
Maharashtra,Cereals,Wheat,May-2023,59430.13,Metric Tonnes,2830.44,Rs./Quintal
Maharashtra,Cereals,Wheat,June-2023,49910.87,Metric Tonnes,3173.22,Rs./Quintal
Maharashtra,Cereals,Wheat,July-2023,36669.32,Metric Tonnes,3340.81,Rs./Quintal
Maharashtra,Cereals,Wheat,August-2023,37488.50,Metric Tonnes,3416.23,Rs./Quintal
Maharashtra,Cereals,Wheat,September-2023,28380.99,Metric Tonnes,3530.83,Rs./Quintal
Maharashtra,Cereals,Wheat,October-2023,33165.05,Metric Tonnes,3566.23,Rs./Quintal
Maharashtra,Cereals,Wheat,November-2023,25051.38,Metric Tonnes,3651.28,Rs./Quintal
Maharashtra,Cereals,Wheat,December-2023,12906.15,Metric Tonnes,2975.00,Rs./Quintal
Maharashtra,Cereals,Wheat,January-2024,10618.00,Metric Tonnes,2841.14,Rs./Quintal
Maharashtra,Cereals,Wheat,February-2024,22572.20,Metric Tonnes,2609.21,Rs./Quintal
Maharashtra,Cereals,Wheat,March-2024,58863.29,Metric Tonnes,2588.61,Rs./Quintal
Maharashtra,Cereals,Wheat,April-2024,43988.51,Metric Tonnes,3186.15,Rs./Quintal
Maharashtra,Cereals,Wheat,May-2024,39457.41,Metric Tonnes,3210.58,Rs./Quintal
Maharashtra,Cereals,Wheat,June-2024,14728.34,Metric Tonnes,2771.89,Rs./Quintal
Maharashtra,Cereals,Wheat,July-2024,12440.75,Metric Tonnes,2839.01,Rs./Quintal
Maharashtra,Cereals,Wheat,August-2024,12236.22,Metric Tonnes,2928.24,Rs./Quintal
Maharashtra,Cereals,Wheat,September-2024,13377.37,Metric Tonnes,2867.66,Rs./Quintal
