cropname,statename,cropyear,seasonname,Area (Lakh Ha),Production (Lakh Tonnes),Yield (Kg/Ha),Source
Bajra,Maharashtra,1966-67,Total,17.27,4.04,234.0,DA&FW
Bajra,Maharashtra,1967-68,Total,18.21,4.93,271.0,DA&FW
Bajra,Maharashtra,1968-69,Total,18.91,5.98,316.0,DA&FW
Bajra,Maharashtra,1969-70,Total,22.57,7.63,338.0,DA&FW
Bajra,Maharashtra,1970-71,Total,19.29,7.88,408.0,DA&FW
Bajra,Maharashtra,1971-72,Total,11.35,2.39,211.0,DA&FW
Bajra,Maharashtra,1972-73,Total,12.78,2.04,160.0,DA&FW
Bajra,Maharashtra,1973-74,Total,22.39,8.57,383.0,DA&FW
Bajra,Maharashtra,1974-75,Total,19.05,5.87,308.0,DA&FW
Bajra,Maharashtra,1975-76,Total,18.53,5.81,314.0,DA&FW
Bajra,Maharashtra,1976-77,Total,17.68,6.81,385.0,DA&FW
Bajra,Maharashtra,1977-78,Total,17.59,6.49,369.0,DA&FW
Bajra,Maharashtra,1978-79,Total,15.75,5.39,342.0,DA&FW
Bajra,Maharashtra,1979-80,Total,14.28,6.07,425.0,DA&FW
Bajra,Maharashtra,1980-81,Total,17.09,7.6,445.0,DA&FW
Bajra,Maharashtra,1981-82,Total,17.44,7.79,447.0,DA&FW
Bajra,Maharashtra,1982-83,Total,13.9,4.45,320.0,DA&FW
Bajra,Maharashtra,1983-84,Total,18.13,9.08,501.0,DA&FW
Bajra,Maharashtra,1984-85,Total,17.61,5.66,321.0,DA&FW
Bajra,Maharashtra,1985-86,Total,17.03,4.2,247.0,DA&FW
Bajra,Maharashtra,1986-87,Total,17.34,4.65,268.0,DA&FW
Bajra,Maharashtra,1987-88,Total,18.15,9.1,501.0,DA&FW
Bajra,Maharashtra,1988-89,Total,19.64,9.01,459.0,DA&FW
Bajra,Maharashtra,1989-90,Total,19.13,12.05,630.0,DA&FW
Bajra,Maharashtra,1990-91,Total,19.27,11.14,578.0,DA&FW
Bajra,Maharashtra,1991-92,Total,19.11,8.98,470.0,DA&FW
Bajra,Maharashtra,1992-93,Total,19.08,17.8,933.0,DA&FW
Bajra,Maharashtra,1993-94,Total,17.91,12.1,676.0,DA&FW
Bajra,Maharashtra,1994-95,Total,17.66,11.13,630.0,DA&FW
Bajra,Maharashtra,1995-96,Total,16.65,9.65,580.0,DA&FW
Bajra,Maharashtra,1996-97,Total,19.47,18.31,941.0,DA&FW
Bajra,Maharashtra,1997-98,Total,18.71,11.19,598.0,DA&FW
Bajra,Maharashtra,1998-99,Total,17.6,14.93,848.0,DA&FW
Bajra,Maharashtra,1999-00,Total,17.36,11.34,653.0,DA&FW
Bajra,Maharashtra,2000-01,Total,18.0,10.87,604.0,DA&FW
Bajra,Maharashtra,2001-02,Total,13.99,8.31,594.0,DA&FW
Bajra,Maharashtra,2002-03,Total,15.47,11.46,741.0,DA&FW
Bajra,Maharashtra,2003-04,Total,13.25,8.96,676.0,DA&FW
Bajra,Maharashtra,2004-05,Total,15.29,11.26,736.0,DA&FW
Bajra,Maharashtra,2005-06,Total,14.34,10.32,720.0,DA&FW
Bajra,Maharashtra,2006-07,Total,14.52,10.59,729.0,DA&FW
Bajra,Maharashtra,2007-08,Total,12.83,11.27,878.0,DA&FW
Bajra,Maharashtra,2008-09,Total,8.65,6.62,765.0,DA&FW
Bajra,Maharashtra,2009-10,Total,10.34,7.66,741.0,DA&FW
Bajra,Maharashtra,2010-11,Total,10.35,11.23,1085.0,DA&FW
Bajra,Maharashtra,2011-12,Total,8.38,8.23,982.0,DA&FW
Bajra,Maharashtra,2012-13,Total,7.88,5.02,637.0,DA&FW
Bajra,Maharashtra,2013-14,Total,7.62,7.88,1034.0,DA&FW
Bajra,Maharashtra,2014-15,Total,8.65,5.38,622.0,DA&FW
Bajra,Maharashtra,2015-16,Total,8.01,3.33,416.0,DA&FW
Bajra,Maharashtra,2016-17,Total,8.37,8.0,955.0,DA&FW
Bajra,Maharashtra,2017-18,Total,7.88,6.69,849.0,DA&FW
Bajra,Maharashtra,2018-19,Total,6.1,3.32,545.0,DA&FW
Bajra,Maharashtra,2019-20,Total,6.73,5.12,761.0,DA&FW
Bajra,Maharashtra,2020-21,Total,6.88,6.57,955.0,DA&FW
